Name,City,District,Address,Latitude,Longitude,Type,Languages,AgeRange,Rating,Students,Fees,Curriculum,Website,Phone,Specialties
BGéSzC Katona József Technikum,Budapest,XIII,"Budapest, Váci út 107, 1138",47.54147829999999,19.0711899,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum,http://katonaj-mkszig.hu/,(06 1) 320 9864,
BMSZC Verebély László Technikum,Budapest,XIII,"Budapest, Üteg u. 15, 1139",47.52948199999999,19.0767067,Technical School,Hungarian,6-18,,600,Unknown (Needs verification),Hungarian National Curriculum (NAT),https://www.verebelyszki.hu/,06 70 502 2297,
Öveges József Középiskola,Budapest,XI,"Budapest, Beregszász út 10, 1118",47.47029690000001,19.0073384,Secondary,Hungarian,14-18,3.5,,Public (Free),Hungarian National Curriculum (NAT),http://www.oveges.hu/,(06 1) 246 1578,
Dobos C. József Vendéglátóipari Technikum és Szakképző Iskola,Budapest,XIII,"Budapest, Huba u. 7, 1134",47.5242775,19.0653139,Technical School,Hungarian,6-18,,1000,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://dobosvszi.hu/,(06 1) 320 9804,
Magyar Máltai Szeretetszolgálat Óbudai Szakgimnázium,Budapest,III,"Budapest, Vályog u. 10, 1032",47.5409798,19.0319269,Gymnasium,Hungarian,14-18,5,,Public (Free),Hungarian National Curriculum (NAT),http://maltaszakiskola.hu/,(06 1) 244 8242,
BGSZC Giorgio Perlasca Vendéglátóipari Technikum és Szakképző Iskola,Budapest,X,"Budapest, Maglódi út 8, 1106",47.48586,19.1556054,Technical School,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),http://giorgioperlasca.hu/,(06 1) 262 5790,
BKSZC Schulek Frigyes Két Tanítási Nyelvű Építőipari Technikum,Budapest,VIII,"Budapest, Mosonyi u. 6, 1087",47.4985706,19.0823922,Technical School,Hungarian,6-18,4.3,,Unknown (Bilingual - verify),IB (International Baccalaureate),http://schulek.hu/,(06 1) 334 2358,Bilingual education (Hungarian-English)
"KMASZC Bercsényi Miklós Élelmiszeripari-Környezetvédelmi Technikum, Szakképző Iskola és Kollégium",Budapest,X,"Budapest, Maglódi út 4/b, 1106",47.4881701,19.1524616,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),https://www.bercsenyisuli.hu/,(06 1) 433 1200,
BGSZC Békésy György Technikum,Budapest,XVII,"Budapest, Széchenyi u. 9-11, 1174",47.4759034,19.2500765,Technical School,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),http://bekesy-iskola.hu/,(06 1) 256 1673,
BGSZC Harsányi János Technikum,Budapest,IX,"Budapest, Ifjúmunkás u. 31, 1091",47.4662415,19.1188395,Technical School,Hungarian,6-18,,2023,Unknown (Needs verification),IB (International Baccalaureate),https://harsanyi-bp.hu/,(06 1) 347 1070,
BGSZC Károlyi Mihály Két Tanítási Nyelvű Közgazdasági Technikum,Budapest,XIII,"Budapest, Váci út 89, 1139",47.5370261,19.0689511,Technical School,Hungarian,6-18,,,Unknown (Bilingual - verify),Hungarian National Curriculum (NAT),http://www.karolyi-kozgazd.hu/,(06 1) 320 8427,Bilingual education (Hungarian-English)
Semmelweis Egyetem Raoul Wallenberg Szakgimnáziuma és Szakközépiskolája,Budapest,VI,"Budapest, Rippl Rónai utca 26, 1068",47.51488639999999,19.073306,Gymnasium,Hungarian,14-18,,2008,Public (Free),Hungarian National Curriculum (NAT),https://semmelweis.hu/raoulwallenberg/,(06 1) 215 8213,
BGéSZC Ganz Ábrahám Két Tanítási Nyelvű Technikum,Budapest,XIX,"Budapest, Üllői út 303, 1195",47.45193949999999,19.157462,Technical School,Hungarian,6-18,,,Unknown (Bilingual - verify),Hungarian National Curriculum (NAT),http://www.ganziskola.hu/,(06 1) 282 9588,Bilingual education (Hungarian-English)
"Közép-európai Szakgimnázium, Technikum és Szakképző Iskola",Budapest,V,"Budapest, Váci u 47, 1056",47.4907066,19.0544749,Gymnasium,Hungarian,14-18,,,Public (Free),Hungarian National Curriculum (NAT),http://www.pannonkincstar.hu/,(06 1) 577 8311,
"Kövessi Erzsébet Baptista Technikum, Szakképző Iskola, Gimnázium, Szakiskola és Általános Iskola",Budapest,XIV,"Budapest, Telepes u. 22, 1147",47.5221678,19.1115707,Elementary,Hungarian,6-14,3.7,,Free or nominal fees (Church school),Hungarian National Curriculum,https://kovessi-erzsebet.baptistaoktatas.hu/,,
Egressy Béni Református Művészeti Szakgimnázium,Budapest,XXI,"Budapest, Csete Balázs u. 6-8, 1215",47.4340603,19.0751765,"Gymnasium, Religious",Hungarian,14-18,3.3,,Free or nominal fees (Church school),Hungarian National Curriculum (NAT),https://egressybenikonzi.hu/,06 30 010 8171,"Arts programs, Reformed Church education"
BMSZC Trefort Ágoston Két Tanítási Nyelvű Technikum,Budapest,XIX,"Budapest, Kossuth tér 12, 1191",47.46002439999999,19.145411,Technical School,Hungarian,6-18,,,Unknown (Bilingual - verify),Hungarian National Curriculum (NAT),https://trefort.bmszc.hu/,(06 1) 347 4030,"Bilingual education (Hungarian-English), Elite academic school"
Semmelweis Egyetem Bókay János Többcélú Szakképző Intézménye,Budapest,VIII,"Budapest, Csobánc u. 1, 1086",47.4884171,19.0882953,Secondary,Hungarian,14-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),https://semmelweis.hu/bokay/,(06 1) 313 1067,
"Premier Művészeti Szakgimnázium, Gimnázium és Alapfokú Művészeti Iskola Budapesti Tagintézménye",Budapest,XIV,"Budapest, Gizella út 37, 1143",47.5081533,19.1005076,Gymnasium,Hungarian,14-18,4.2,,Public (Free),Hungarian National Curriculum (NAT),http://www.premiermuveszeti.hu/,06 30 960 0219,Arts programs
Dózsa György Gimnázium és Táncművészeti Szakgimnázium,Budapest,XV,"Budapest, Fő út 70, 1151",47.5645322,19.1182345,Gymnasium,Hungarian,14-18,,,Public (Free),Hungarian National Curriculum (NAT),http://www.dgyg.hu/,(06 1) 307 6423,Arts programs
BKSZC Szamos Mátyás Technikum és Szakképző Iskola - 2. épület,Budapest,XXI,"Budapest, Mansfeld Péter utca 25, 1211",47.4229257,19.0613859,Technical School,Hungarian,6-18,3.5,,Unknown (Needs verification),IB (International Baccalaureate),http://www.szamosiskola.hu/,06 30 570 0409,
Kelta Vendéglátó Szakközépiskola és Szakiskola,Budapest,III,"Budapest, Zipernowsky utca 4, 1039",47.5988804,19.0638257,Vocational,Hungarian,14-18,3.6,,Public (Free),Hungarian National Curriculum (NAT),http://www.maltai.keltavendeglato.hu/,(06 1) 243 1333,
BGSzC II. Rákóczi Ferenc Technikum,Budapest,VII,"Budapest, Wesselényi utca 38, 1075",47.4995346,19.0668842,Technical School,Hungarian,6-18,,2022,Unknown (Needs verification),IB (International Baccalaureate),http://www.rakoczif.hu/,(06 1) 342 4905,
BGéSZC Arany János Technikum és Szakképző Iskola,Budapest,VII,"Budapest, Nyár u. 9, 1072",47.4975979,19.065892,Technical School,Hungarian,6-18,,,Public (Free),Hungarian National Curriculum,http://aranymszki.hu/,(06 1) 342 1320,
Pesti Barnabás Élelmiszeripari Szakgimnázium és Szakközépiskola tanműhely,Budapest,XIV,"Budapest, Almádi u. 3-5, 1148",47.5187411,19.129947,Gymnasium,Hungarian,14-18,3.9,,Public (Free),Hungarian National Curriculum (NAT),https://www.pestibarnabas.hu/,06 20 363 7862,
Fáy András Technikum,Budapest,IX,"Budapest, Mester u. 60-62, 1095",47.4768281,19.0767503,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum,https://fayamszki.hu/,(06 1) 215 3177,
"Gundel Károly Vendéglátó és Turisztikai Technikum, BKSZC",Budapest,IX,"Budapest, Ecseri út 7, 1097",47.4683952,19.1066552,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum,http://gundeliskola.hu/,(06 1) 280 6820,
BKSZC Újbudai Szakiskola és Szakképző Iskola,Budapest,XI,"Budapest, Leiningen út 27, 1119",47.462174,19.0361383,Vocational,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),http://www.ujbudaiszakiskola.hu/,(06 1) 371 0782,
Mándy Iván Szakképző Iskola és Szakiskola (telephely),Budapest,XIII,"Budapest, Róbert Károly körút 49-51, 1134",47.5281145,19.0734516,Vocational,Hungarian,6-18,3.6,,Unknown (Needs verification),Hungarian National Curriculum (NAT),https://mandyszakiskola.wixsite.com/mandy/,(06 1) 350 9357,
BGSZC Bánki Donát Technikum,Budapest,XIII,"Budapest, Váci út 179-183, 1138",47.5537779,19.0757549,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://www.bankidonat.net/,(06 1) 329 8410,
BKSZC Kaesz Gyula Faipari Technikum és Szakképző Iskola,Budapest,XIV,"Budapest, Egressy út 36, 1149",47.5088178,19.1087857,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://kaesz.hu/,(06 1) 252 1000,
BGSZC Logisztikai és Kereskedelmi Technikum és Szakképző Iskola,Budapest,VIII,"Budapest, Szörény u. 2-4, 1087",47.4989759,19.1067189,Technical School,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),http://www.logiker.hu/,(06 1) 333 0555,
BKSZC Szamos Mátyás Technikum és Szakképző Iskola - 1. épület,Budapest,XXI,"Budapest, Petőfi tér 1, 1212",47.4239516,19.0652696,Technical School,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),http://www.szamosiskola.hu/,(06 1) 276 4676,
BKSZC Mándy Iván Szakképző Iskola és Szakiskola,Budapest,VIII,"Budapest, Elnök u. 3, 1089",47.4790916,19.0979088,Vocational,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),https://www.mandysuli.edir.hu/,(06 1) 333 8924,
BGSZC Csete Balázs Technikum,Budapest,XXI,"Budapest, Csete Balázs u. 6-8, 1215",47.4340603,19.0751765,Technical School,Hungarian,6-18,3.5,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://csetebalazs.hu/,(06 1) 276 4856,
KMASZC Varga Márton Kertészeti és Földmérési Technikum és Kollégium,Budapest,XIV,"Budapest, Mogyoródi út 56-60, 1149",47.510814,19.1209339,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum,http://www.vmszki.hu/,06 30 324 7981,
BGSZC Budai Technikum,Budapest,XII,"Budapest, Márvány u. 32, 1126",47.4947606,19.0243776,Technical School,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),https://budaitechnikum.hu/,06 30 293 4270,
KMASZC Pesti Barnabás Élelmiszeripari Szakgimnázium és Szakközépiskola,Budapest,VI,"Budapest, Andrássy út 63-65, 1062",47.5067838,19.0660879,Gymnasium,Hungarian,14-18,,,Public (Free),Hungarian National Curriculum (NAT),http://www.pestibarnabas.hu/,(06 1) 413 3710,
BGSZC Öveges József Technikum és Szakképző Iskola,Budapest,XI,"Budapest, Fehérvári út 10, 1117",47.4762592,19.0473832,Technical School,Hungarian,6-18,2.8,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://www.oveges.hu/,(06 1) 246 1578,
BGSZC Eötvös Loránd Technikum,Budapest,XX,"Budapest, Török Flóris u. 89, 1204",47.4375684,19.108014,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://www.eotvosszki.hu/,(06 1) 283 0858,Elite academic school
BMSZC Puskás Tivadar Távközlési és Informatikai Technikum,Budapest,IX,"Budapest, Gyáli út 22, 1097",47.468754,19.1009867,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://www.puskas.hu/,06 70 501 9716,
BGSZC Pestszentlőrinci Technikum,Budapest,XVIII,"Budapest, Hengersor u. 34, 1184",47.4460477,19.1571126,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://www.hengersor.hu/,(06 1) 295 1941,
BGSZC Berzeviczy Gergely Két Tanítási Nyelvű Közgazdasági Technikum,Budapest,IV,"Budapest, Baross u. 72, 1047",47.57182239999999,19.0870704,Technical School,Hungarian,6-18,,,Unknown (Bilingual - verify),Hungarian National Curriculum (NAT),http://www.berzeviczy.hu/,(06 1) 369 3505,Bilingual education (Hungarian-English)
BGSZC Varga István Közgazdasági Technikum,Budapest,III,"Budapest, Hatvany Lajos u. 7, 1039",47.60187330000001,19.067148,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),,(06 1) 454 0570,
Budapesti Műszaki SZC Than Károly Technikum és Szakképző Iskola Wesselényi Miklós Telephelye,Budapest,XIV,"Budapest, Várna u. 23, 1149",47.5046099,19.1128047,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),https://wesselenyi.bmszc.hu/,06 70 502 1258,
BGSZC Magyar Hajózási Technikum,Budapest,XIII,"Budapest, Jász u. 153-155, 1131",47.5430633,19.0904856,Technical School,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),http://www.hajozasi.fw.hu/,(06 1) 451 0607,
BGéSZC Kossuth Lajos Két Tanítási Nyelvű Technikum,Budapest,XXI,"Budapest, Kossuth Lajos u. 12, 1211",47.4374097,19.0721193,Technical School,Hungarian,6-18,,,Public (Free),Hungarian National Curriculum (NAT),http://www.kossuth-csepel.hu/,(06 1) 276 4167,Bilingual education (Hungarian-English)
BGSZC Vásárhelyi Pál Technikum,Budapest,XXI,"Budapest, Széchenyi István u. 95, 1212",47.4225574,19.0902089,Technical School,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),http://www.vasarhelyi.info/,(06 1) 278 3060,
BKSZC Ybl Miklós Építőipari Technikum és Szakképző Iskola,Budapest,XIV,"Budapest, Várna u. 21b, 1149",47.5042288,19.113099,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://www.yblszakkepzo.hu/,(06 1) 363 7459,
BGSZC Pesterzsébeti Technikum,Budapest,XX,"Budapest, Vörösmarty u. 30, 1201",47.4340048,19.1052888,Technical School,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),https://pekszi.hu/,(06 1) 283 0838,
BMSZC Bláthy Ottó Titusz Informatikai Technikum,Budapest,III,"Budapest, Bécsi út 134, 1032",47.54064049999999,19.0298972,Technical School,Hungarian,6-18,,,Unknown (Needs verification),IB (International Baccalaureate),https://blathy.info/,(06 1) 250 7995,
BKSZC Kozma Lajos Faipari és Kreatív Technikum,Budapest,IV,"Budapest, Deák Ferenc u. 40, 1041",47.5641179,19.0992332,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://www.kozmafa.hu/,(06 1) 369 6241,
BKSZC Erzsébet Királyné Szépészeti Technikum,Budapest,XX,"Budapest, Kossuth Lajos utca 35, 1203",47.4378796,19.1029783,Technical School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),https://www.sisy.hu/,(06 1) 283 0203,
International Christian School of Budapest (ICSB),Diósd,,"Diósd, Ifjúság út 11, 2049",47.4097856,18.9548545,International,Hungarian,3-18,,,"€5,000-€15,000/year (estimated)",IB (International Baccalaureate),https://www.icsbudapest.org/,(06 23) 381 181,International curriculum
IBS International Business School - Budapest,Budapest,III,"Budapest, Záhony u. 7, 1031",47.5626864,19.0539257,"IB School, International",Hungarian,3-18,4.5,,Private (Fee-paying),IB (International Baccalaureate),http://www.ibsbudapest.com/,(06 1) 588 8600,IB World School
Avicenna International College,Budapest,VIII,"Budapest, Orczy út 3-5, 1089",47.4820907,19.0926921,International,Hungarian,3-18,,0,"€5,000-€15,000/year (estimated)",IB (International Baccalaureate),http://www.avicenna.hu/,06 30 823 7592,International curriculum
International House Language School,Budapest,II,"Budapest, Retek u. 26, 1024",47.5082838,19.0228724,International,Hungarian,3-18,4.7,,"€5,000-€15,000/year (estimated)",Cambridge Curriculum,https://ih.hu/,06 30 575 4078,International curriculum
International Music School Budapest,Budapest,XIII,"Budapest, Pozsonyi út 16, 1137",47.5159059,19.0496523,International,Hungarian,3-18,5,,"€5,000-€15,000/year (estimated)",IB (International Baccalaureate),http://www.imsbudapest.com/,06 20 344 7498,International curriculum
Osztrák-Magyar Európaiskola,Budapest,XII,"Budapest, Istenhegyi út 32, 1126",47.4989906,19.0117649,School,Hungarian,6-18,,,Unknown (Needs verification),Hungarian National Curriculum (NAT),,(06 1) 356 4657,
English School,Budapest,II,"Budapest, EnglishSchool.hu, Tárogató út 2-4-Office Center building, 1021",47.520743,18.990873,School,"English, Hungarian",6-18,5,,Unknown (Needs verification),IB (International Baccalaureate),https://englishschool.hu/,06 20 555 9851,English language program
Maarif Magyar-Angol Két Tanítási Nyelvű Általános Iskola és Gimnázium,Budapest,XIX,"Budapest, Berzsenyi u. 8, 1191",47.45955619999999,19.1341578,Elementary,Hungarian,6-14,4.4,,Public (Free),Hungarian National Curriculum,https://hu.maarifschool.org/country/1042,06 20 221 5585,Bilingual education (Hungarian-English)
Duna International College,Budapest,I,"Budapest, Szilágyi Dezső tér 2, 1011",47.5040248,19.0383145,International,Hungarian,3-18,,,"€5,000-€15,000/year (estimated)",IB (International Baccalaureate),http://www.dunacollege.com/,(06 1) 780 7383,International curriculum
QSI International School of Pápa,,,"Pápa, Komáromi u. 12, 8500",47.30399269999999,17.4939271,International,Hungarian,3-18,5,,Private (Fee-paying),IB (International Baccalaureate),https://www.qsi.org/papa/,(06 89) 777 999,International curriculum
IBS Nemzetközi Üzleti Főiskola,Budapest,III,"Budapest, Graphisoft Park S épület, Záhony u. 7, 1031",47.5611399,19.0543711,IB School,Hungarian,6-18,5,,Private (Fee-paying),IB (International Baccalaureate),http://www.ibs-b.hu/,(06 1) 588 8623,
Német Nemzetiségi Gimnázium,Budapest,XX,"Budapest, Serény u. 1, 1203",47.43601659999999,19.0939505,Gymnasium,"German, Hungarian",14-18,,36,Public (Free),IB (International Baccalaureate),http://dng-bp.hu/,(06 1) 283 0222,German language program
Német Nemzetiségi Gimnázium Kollégiuma,Budapest,XX,"Budapest, Vízisport u. 7, 1203",47.4355213,19.0920964,Gymnasium,"German, Hungarian",14-18,5,36,Public (Free),IB (International Baccalaureate),http://dng-bp.hu/,(06 1) 283 0165,German language program
Zuglói Waldorf Iskola,Budapest,XIV,"Budapest, Róna u. 177-179, 1145",47.5197963,19.1040233,Alternative,Hungarian,6-18,4.7,,"€2,000-€4,000/year",Waldorf/Steiner Education,https://zwi.hu/,06 70 387 2585,Waldorf/Steiner pedagogy
"Christophorus Waldorf Általános Iskola, Gimnázium és AMI",Budapest,X,"Budapest, Sibrik Miklós út 66-68, 1108",47.4748005,19.1621321,"Elementary, Alternative",Hungarian,6-14,4.7,,"€2,000-€4,000/year",IB (International Baccalaureate),https://christophoruswaldorf.hu/,(06 1) 239 6795,Waldorf/Steiner pedagogy
"Csillagberek Waldorf Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola",Budapest,IV,"Budapest, Árpád út 161-163, 1042",47.5603835,19.1035362,"Elementary, Alternative",Hungarian,6-14,4.6,,"€2,000-€4,000/year",Hungarian National Curriculum,http://csillagberek.hu/iskola,06 20 286 4231,"Waldorf/Steiner pedagogy, Arts programs"
Közép-budai Waldorf Általános Iskola,Budapest,II,"Budapest, Vadaskerti u., 1021",47.5318428,18.9809683,"Elementary, Alternative",Hungarian,6-14,4.5,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://www.kbwi.hu/,06 20 287 5875,Waldorf/Steiner pedagogy
Pesthidegkúti Waldorf Iskola,Budapest,II,"Budapest, Kossuth Lajos u. 15-17, 1028",47.5537071,18.9610476,Alternative,Hungarian,6-18,4.5,,"€2,000-€4,000/year",IB (International Baccalaureate),https://www.phwi.hu/,,Waldorf/Steiner pedagogy
"Kispesti Waldorf Óvoda, Általános Iskola, Alapfokú Művészeti Iskola és Gimnázium",Budapest,XIX,"Budapest, Vécsey u. 9-13, 1193",47.4549043,19.1554348,"Kindergarten, Alternative",Hungarian,3-6,4.1,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://www.waldorfkispest.hu/,(06 1) 282 9816,"Waldorf/Steiner pedagogy, Arts programs"
Kékvölgy Waldorf Iskola,Pilis,,"Pilisszentlászló, Szabadság tér 3, 2009",47.7233884,18.9889378,Alternative,Hungarian,6-18,,,"€2,000-€4,000/year",Hungarian National Curriculum,http://www.kekvolgy.hu/,(06 26) 338 125,Waldorf/Steiner pedagogy
Christophorus Waldorf Óvoda,Budapest,X,"Budapest, Sibrik Miklós út 66-68, 1108",47.4742591,19.1618532,"Kindergarten, Alternative",Hungarian,3-6,5,,"€2,000-€4,000/year",Waldorf/Steiner Education,https://www.wokk.hu/,(06 1) 951 5286,Waldorf/Steiner pedagogy
Váci Waldorf Óvoda és Általános Iskola,Vác,,"Vác 1620/7 hrsz, Téglaház út, 2600",47.79787779999999,19.1203952,"Kindergarten, Alternative",Hungarian,3-6,4.8,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://www.vaciwaldorf.hu/,(06 27) 412 184,Waldorf/Steiner pedagogy
Csillagösvény Waldorf Iskola,Budapest,XI,"Budapest, Repülőtéri út 6, 1112",47.4463434,18.9844696,Alternative,Hungarian,6-18,,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://waldorf-csillagosveny.hu/,(06 1) 785 7729,Waldorf/Steiner pedagogy
Kékvölgy Waldorf Iskola,Pilis,,"Pilisszentlászló, 2009",47.7259549,18.9769125,Alternative,Hungarian,6-18,5,,"€2,000-€4,000/year",Hungarian National Curriculum,http://www.kekvolgy.hu/,06 20 775 0850,Waldorf/Steiner pedagogy
Sashalmi Waldorf Általános Iskola és Alapfokú Művészetoktatási Intézmény,Budapest,XVI,"Budapest, Thököly út 13, 1163",47.5111019,19.170925,"Elementary, Alternative",Hungarian,6-14,,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://www.waldorfsuli.hu/,(06 1) 405 3377,Waldorf/Steiner pedagogy
Göllner Mária Regionális Waldorf Gimnázium és Alapfokú Művészeti Iskola,Budapest,IV,"Budapest, Lakkozó u. 1-5, 1048",47.5824675,19.1146008,"Gymnasium, Alternative",Hungarian,14-18,,,"€2,000-€4,000/year",IB (International Baccalaureate),http://prwk.hu/,(06 1) 781 2150,"Waldorf/Steiner pedagogy, Arts programs"
Kisgöncöl Waldorf Iskola,Tök,,"Tök, Kútvölgy 3, 2073",47.5679688,18.7307934,Alternative,Hungarian,6-18,4.2,,"€2,000-€4,000/year",IB (International Baccalaureate),http://kisgoncol.hu/,(06 23) 341 323,Waldorf/Steiner pedagogy
Fóti Szabad Waldorf Iskola,Fót,,"Fót, Károlyi István u. 44, 2151",47.6025329,19.1941348,Alternative,Hungarian,6-18,,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://fotiwaldorf.hu/,06 20 225 4942,Waldorf/Steiner pedagogy
"Fészek Waldorf Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola",Solymár,,"Solymár, József Attila u. 26, 2083",47.5925185,18.934578,"Elementary, Alternative",Hungarian,6-14,3.6,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://feszekiskola.hu/,(06 26) 361 275,"Waldorf/Steiner pedagogy, Arts programs"
Rózsaház Gyógypedagógiai Waldorf Általános Iskola és Alapfokú Művészeti Iskola,Budapest,XII,"Budapest, Mátyás király út 53b, 1121",47.5073689,18.9660899,"Elementary, Alternative, Special Education",Hungarian,6-14,,,"€2,000-€4,000/year",IB (International Baccalaureate),https://rozsahaz.hu/,06 20 444 7822,"Waldorf/Steiner pedagogy, Arts programs, Special education services"
Szabad Waldorf Gimnázium,Budapest,XI,"Budapest, Repülőtéri út 6, 1112",47.4463945,18.9814537,"Gymnasium, Alternative",Hungarian,14-18,,30,"€2,000-€4,000/year",IB (International Baccalaureate),https://szwg.hu/,,Waldorf/Steiner pedagogy
Veresegyházi Életfa Waldorf Általános Iskola és AMI,Veresegyház,,"Veresegyház, Erkel Ferenc u. 1, 2112",47.6592309,19.2678563,"Elementary, Alternative",Hungarian,6-14,3.6,,"€2,000-€4,000/year",Waldorf/Steiner Education,https://www.eletfawaldorfiskola.hu/,06 30 682 9216,Waldorf/Steiner pedagogy
Csillagberek Waldorf Óvoda,Budapest,IV,"Budapest, Árpád út 161-163, 1042",47.5603783,19.1035217,"Kindergarten, Alternative",Hungarian,3-6,5,,"€2,000-€4,000/year",IB (International Baccalaureate),http://www.ovoda.csillagberek.hu/,06 20 523 2015,Waldorf/Steiner pedagogy
Pátyi Waldorf Általános Iskola,Páty,,"Páty, Iskola u. 16, 2071",47.5119272,18.8253592,"Elementary, Alternative",Hungarian,6-14,5,,"€2,000-€4,000/year",IB (International Baccalaureate),http://www.patyiwaldorf.hu/,06 20 484 9396,Waldorf/Steiner pedagogy
Gödöllői Waldorf Általános Iskola és Alapfokú Művészeti Iskola,Gödöllő,,"Gödöllő, Tessedik Sámuel út 4, 2100",47.5910983,19.339226,"Elementary, Alternative",Hungarian,6-14,,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://www.waldorf-godollo.hu/,(06 28) 419 052,"Waldorf/Steiner pedagogy, Arts programs"
Waldorf iskola,,,"Debrecen, Kút u. 19, 4028",47.5393711,21.6314043,Alternative,Hungarian,6-18,4.6,595,"€2,000-€4,000/year",IB (International Baccalaureate),http://napraforgoiskola.hu/,06 70 947 8527,Waldorf/Steiner pedagogy
Közép-budai Waldorf Általános Iskola,Budapest,II,"Budapest, Hűvösvölgyi út 133, 1021",47.5308463,18.9792513,"Elementary, Alternative",Hungarian,6-14,,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://www.kbwi.hu/,06 20 287 5875,Waldorf/Steiner pedagogy
Kisember Waldorf Óvoda,Budapest,XII,"Budapest, Mártonhegyi út 65, 1124",47.4926587,19.0101011,"Kindergarten, Alternative",Hungarian,3-6,5,,"€2,000-€4,000/year",Waldorf/Steiner Education,https://kisember.wordpress.com/,,Waldorf/Steiner pedagogy
Galagonya Waldorf Óvoda,Solymár,,"Solymár, József Attila 39, 2083",47.592531,18.9323208,"Kindergarten, Alternative",Hungarian,3-6,5,,"€2,000-€4,000/year",Waldorf/Steiner Education,https://galagonyawaldorf.hu/,06 20 988 7797,Waldorf/Steiner pedagogy
Hámori Waldorf Iskola,,,"Miskolc, Losonczy István u. 64, 3517",48.1060277,20.6284415,Alternative,Hungarian,6-18,4.1,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://hamoriwaldorf.hu/,(06 46) 533 309,Waldorf/Steiner pedagogy
Tündérrózsa Waldorf Óvoda,Budapest,XVI,"Budapest u 1162, Hársfa u. 58, 1162",47.5247539,19.1745631,"Kindergarten, Alternative",Hungarian,3-6,4,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://waldorfovi.hu/,06 30 788 8266,Waldorf/Steiner pedagogy
Rozmarintszál Waldorf Óvoda,Budapest,II,"Budapest, Len u. 8, 1028",47.5583812,18.9569331,"Kindergarten, Alternative",Hungarian,3-6,4.6,,"€2,000-€4,000/year",IB (International Baccalaureate),https://rozmarintszal.hu/,06 20 362 0050,Waldorf/Steiner pedagogy
Világfa Waldorf Iskola,,,"Bálványos, Kossuth u 101, 8614",46.7842747,17.9505721,Alternative,Hungarian,6-18,4.6,,"€2,000-€4,000/year",IB (International Baccalaureate),https://www.vilagfawaldorf.hu/,06 30 156 7001,Waldorf/Steiner pedagogy
Fehér Vár Waldorf Általános Iskola és Gimnázium,,,"Székesfehérvár, Berényi út 101, 8000",47.2052957,18.4370025,"Elementary, Alternative",Hungarian,6-14,4.2,,"€2,000-€4,000/year",Waldorf/Steiner Education,http://www.waldorffehervar.hu/,06 70 622 2484,Waldorf/Steiner pedagogy
